text,tag,color,image,author,aouexw_link
空を見て、深呼吸しよう。今日のあなたも、ステキです。,癒し,#f3e5f5,bg-iyashi.jpg,original,
自分を信じよう。そうすれば世界はかわるから。,元気,#e3f2fd,bg-genki.jpg,original,
笑顔を忘れなければ、きっと前向きになれるはず。,元気,#e8f5e9,bg-genki.jpg,original,
ありのままのあなたで大丈夫。,そのまま,#fdedd3,bg-sonomama.jpg,original,
辛いときは無理しないで。ちょっとだけ休もう。,そのまま,#fdedd3,bg-sonomama.jpg,original,
しんどい状況も楽しめたらいいね。,元気,#e8f5e9,bg-genki.jpg,original,
雨の音みたいに、静かに心を落ち着けて。,癒し,#f3e5f5,bg-iyashi.jpg,original,
"誰にも会いたくない日は、無理に頑張らなくていいんだよ。
",癒し,#f3e5f5,bg-iyashi.jpg,original,
"花が咲くように、焦らずゆっくりでいい。
",癒し,#f3e5f5,bg-iyashi.jpg,original,
転んだら、景色も変わる。それもアリ。,元気,#e3f2fd,bg-genki.jpg,original,
あなたのペースで走ればいい。遅くても止まらなければ進んでる。,元気,#e3f2fd,bg-genki.jpg,original,
小さな一歩も、未来への足跡になる。,元気,#e3f2fd,bg-genki.jpg,original,
比べなくても、あなたはあなたで素晴らしい。,そのまま,#fdedd3,bg-sonomama.jpg,original,
不完全なところも、あなたらしさなんだよ。,そのまま,#fdedd3,bg-sonomama.jpg,original,
変わろうとしなくても、今のあなたがちゃんと意味を持ってる。,そのまま,#fdedd3,bg-sonomama.jpg,original,
今日は、好きな香りに包まれて、心をほどこう。,癒し,#f3e5f5,bg-iyashi.jpg,original,
静かな夜は、ひとりの時間も心の贅沢。,癒し,#f3e5f5,bg-iyashi.jpg,original,
その涙も、大切なあなたの一部だから。,癒し,#f3e5f5,bg-iyashi.jpg,original,
今日ダメでも、明日ちょっと良くなるかもしれないよ。,元気,#e3f2fd,bg-genki.jpg,original,
失敗は、挑戦した証。進んでることに誇りを持って。,元気,#e3f2fd,bg-genki.jpg,original,
あなたの声、ちゃんと誰かの力になる。,元気,#e3f2fd,bg-genki.jpg,original,
そんなに頑張らなくても、あなたはすでに十分すごい。,そのまま,#fdedd3,bg-sonomama.jpg,original,
好きなもの、好きって言っていいんだよ。,そのまま,#fdedd3,bg-sonomama.jpg,original,
誰かの正解より、自分らしさが一番大切。,そのまま,#fdedd3,bg-sonomama.jpg,original,
目を閉じて、深呼吸。その一瞬が、自分を取り戻す時間。,癒し,#f3e5f5,bg-iyashi.jpg,original,
誰かのやさしさを思い出すだけで、心がほどける日もある。,癒し,#f3e5f5,bg-iyashi.jpg,original,
まるで猫が丸くなるみたいに、安心できる場所があればいいね。,癒し,#f3e5f5,bg-iyashi.jpg,original,
今日はまだ途中。ここからいいこと、起きるかもよ。,元気,#e3f2fd,bg-genki.jpg,original,
諦めずに向き合えた日、それだけでもすごく意味がある。,元気,#e3f2fd,bg-genki.jpg,original,
やる気がない日もある。でも動いたら、少しずつ光が見えてくる。,元気,#e3f2fd,bg-genki.jpg,original,
大丈夫。そのままでも、ちゃんと誰かに届いてるよ。,そのまま,#fdedd3,bg-sonomama.jpg,original,
うまく言えなくても、思いはきっと伝わる。,そのまま,#fdedd3,bg-sonomama.jpg,original,
無理して笑わなくても、ほんとうのあなたが一番すてき。,そのまま,#fdedd3,bg-sonomama.jpg,original,
ゆっくりお茶でも飲んで、今日はそれだけでじゅうぶん。,癒し,#f3e5f5,bg-iyashi.jpg,original,
風の匂い感じるだけで、心がふっと軽くなるよ。,癒し,#f3e5f5,bg-iyashi.jpg,original,
何もしない日があってもいいよ。,癒し,#f3e5f5,bg-iyashi.jpg,original,
出来ることから始めよう。それが一番の近道。,元気,#e3f2fd,bg-genki.jpg,original,
どこからでもやり直せる。それが人の強さです。,元気,#e3f2fd,bg-genki.jpg,original,
"「やってみよかな」が、いちばん最初のヒーローのセリフ。
",元気,#e3f2fd,bg-genki.jpg,original,
"あなたがあなたでいてくれる、それが一番うれしい。。
",そのまま,#fdedd3,bg-sonomama.jpg,original,
まっすぐじゃなくても、あなたの道はちゃんと続いてる。,そのまま,#fdedd3,bg-sonomama.jpg,original,
強がらなくていい。弱さもやさしさの一部だから。,そのまま,#fdedd3,bg-sonomama.jpg,original,
